,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_name,GO,notes
TCONS_00000708,1461.523131,-1.384727922,0.436627758,-3.171415229,0.001516981,0.04354426,Down,DUF1826 domain-containing protein,,
TCONS_00000474,914.8959048,-0.951473735,0.301414231,-3.156698118,0.001595664,0.0451192,No Change,,,
TCONS_00001647,1075.809879,-0.884878816,0.176746979,-5.006472081,5.54E-07,0.000150035,No Change,,,
TCONS_00003262,1831.282547,-0.882666981,0.15054699,-5.863066295,4.54E-09,2.46E-06,No Change,,,
TCONS_00000739,237.1504673,-0.745670083,0.179828624,-4.146559473,3.38E-05,0.003632293,No Change,,,
TCONS_00003706,1078.266573,-0.734295007,0.106815657,-6.874413635,6.22E-12,7.86E-09,No Change,,,
TCONS_00004183,997.9964705,-0.732627062,0.178780008,-4.09792499,4.17E-05,0.003760766,No Change,,,
TCONS_00000746,368.4715855,-0.714032759,0.197673355,-3.612185162,0.000303628,0.014891642,No Change,,,
TCONS_00002875,21003.81289,-0.704555021,0.225008945,-3.131231157,0.001740751,0.047794963,No Change,,,
TCONS_00002193,1410.773259,-0.660277167,0.154589146,-4.271174159,1.94E-05,0.002455859,No Change,,,
TCONS_00002316,4761.773083,-0.642840574,0.179407538,-3.583130231,0.000339501,0.015708563,No Change,,,
TCONS_00003479,1066.144366,-0.620984207,0.154659774,-4.015163021,5.94E-05,0.00468926,No Change,,,
TCONS_00000882,939.5028103,-0.603014134,0.154202302,-3.910539114,9.21E-05,0.006461673,No Change,,,
TCONS_00003491,1424.980879,-0.600599818,0.163253029,-3.678950541,0.000234196,0.012673882,No Change,,,
TCONS_00004215,1123.283506,-0.591844185,0.112047289,-5.282092835,1.28E-07,4.03E-05,No Change,,,
TCONS_00003778,1463.156026,-0.591606332,0.113859782,-5.195920098,2.04E-07,5.94E-05,No Change,,,
TCONS_00004375,9117.154911,-0.590579514,0.175646089,-3.362326586,0.000772887,0.028020043,No Change,,,
TCONS_00004351,856.7390471,-0.58488929,0.161105548,-3.630472667,0.000282903,0.014104187,No Change,,,
TCONS_00004180,2579.731841,-0.584386428,0.146409,-3.991465184,6.57E-05,0.005077749,No Change,,,
TCONS_00000435,1768.131664,-0.555057794,0.155820056,-3.562171702,0.0003678,0.016790278,No Change,,,
TCONS_00001512,2043.540309,-0.546028025,0.110064893,-4.96096449,7.01E-07,0.000175194,No Change,,,
TCONS_00001501,838.0862785,-0.545296156,0.158641565,-3.437284273,0.000587579,0.024395651,No Change,,,
TCONS_00001513,7113.858859,-0.542511993,0.101655532,-5.336768022,9.46E-08,3.26E-05,No Change,,,
TCONS_00000388,548.7979876,-0.535552494,0.131747595,-4.064988777,4.80E-05,0.004044528,No Change,,,
TCONS_00003492,1969.986149,-0.520434135,0.126703315,-4.107502131,4.00E-05,0.003760766,No Change,,,
TCONS_00002873,16823.51943,-0.507013349,0.156878627,-3.231882889,0.001229774,0.036981075,No Change,,,
TCONS_00003478,1311.563037,-0.50573623,0.146793186,-3.445229605,0.000570575,0.024021187,No Change,,,
TCONS_00001522,786.5652289,-0.501042048,0.159922962,-3.133021315,0.001730169,0.047794963,No Change,,,
TCONS_00003261,1670.086063,-0.479124818,0.141102915,-3.395569943,0.000684859,0.026751853,No Change,,,
TCONS_00002144,398.5663095,-0.475223792,0.132513847,-3.586219873,0.000335506,0.015708563,No Change,,,
TCONS_00003487,869.3177556,-0.472898779,0.147015002,-3.216670223,0.001296876,0.038667207,No Change,,,
TCONS_00002313,521.8616993,-0.465075592,0.122575578,-3.79419458,0.000148123,0.009200654,No Change,,,
TCONS_00001646,480.2227904,-0.459697754,0.136817241,-3.35994025,0.000779593,0.028020043,No Change,,,
TCONS_00001297,653.4795349,-0.455880783,0.146196947,-3.118264714,0.001819193,0.048967036,No Change,,,
TCONS_00001306,1044.933307,-0.455391218,0.098288941,-4.633188769,3.60E-06,0.000620149,No Change,,,
TCONS_00002871,2522.159884,-0.442840575,0.129495882,-3.419727075,0.00062684,0.025266983,No Change,,,
TCONS_00000963,4318.460938,-0.421555495,0.102215023,-4.124202923,3.72E-05,0.003709439,No Change,,,
TCONS_00001660,8123.316642,-0.417570494,0.111403992,-3.748254325,0.00017807,0.010222816,No Change,,,
TCONS_00002311,455.7870865,-0.416681632,0.124166542,-3.35582859,0.000791276,0.028020043,No Change,,,
TCONS_00003457,373.4545213,-0.413101378,0.114514506,-3.60741526,0.000309262,0.014891642,No Change,,,
TCONS_00001770,554.1621992,-0.411619934,0.090440032,-4.551302406,5.33E-06,0.000878304,No Change,,,
TCONS_00000382,636.8521344,-0.410308689,0.121418651,-3.379288812,0.000726736,0.027872073,No Change,,,
TCONS_00003705,646.7618481,-0.405233856,0.120193006,-3.371526097,0.00074753,0.028020043,No Change,,,
TCONS_00001630,667.0145245,-0.393523224,0.102396592,-3.843128151,0.000121476,0.007671209,No Change,,,
TCONS_00003049,388.9924772,-0.389709835,0.104777713,-3.719396263,0.0001997,0.011195453,No Change,,,
TCONS_00003137,3014.78003,-0.386704782,0.093389576,-4.140770312,3.46E-05,0.003632293,No Change,,,
TCONS_00000832,542.655169,-0.383498791,0.092740834,-4.135166513,3.55E-05,0.003632293,No Change,,,
TCONS_00002803,1946.031878,-0.374856748,0.1116055,-3.358765911,0.000782914,0.028020043,No Change,,,
TCONS_00003051,497.970649,-0.371823797,0.101331525,-3.669379267,0.00024314,0.01279525,No Change,,,
TCONS_00000378,1480.1747,-0.371228602,0.101823021,-3.645821907,0.000266539,0.013834445,No Change,,,
TCONS_00003308,1021.560595,-0.356148232,0.086861653,-4.100177896,4.13E-05,0.003760766,No Change,,,
TCONS_00002348,1418.074846,-0.354547264,0.085387803,-4.152200341,3.29E-05,0.003632293,No Change,,,
TCONS_00001260,3612.50452,-0.340456309,0.081893306,-4.157315459,3.22E-05,0.003632293,No Change,,,
TCONS_00003655,3753.386215,-0.32164201,0.081769436,-3.933523667,8.37E-05,0.006099532,No Change,,,
TCONS_00004185,353.6690099,-0.319551095,0.082102198,-3.892113787,9.94E-05,0.006747651,No Change,,,
TCONS_00003091,966.7594272,-0.318798594,0.073219721,-4.353999034,1.34E-05,0.001875924,No Change,,,
TCONS_00004391,7365.077602,-0.308714698,0.097138466,-3.178089081,0.001482492,0.042879099,No Change,,,
TCONS_00004471,1122.180092,-0.302285605,0.083819479,-3.606388505,0.000310488,0.014891642,No Change,,,
TCONS_00001166,487.1684365,-0.300060055,0.08807799,-3.406754104,0.000657403,0.025956453,No Change,,,
TCONS_00000371,1093.641693,-0.29160501,0.093683222,-3.112670587,0.001854028,0.049125268,No Change,,,
TCONS_00000079,1415.135137,-0.288193106,0.078025772,-3.693563014,0.000221134,0.012143123,No Change,,,
TCONS_00000961,1955.202039,-0.287053986,0.076017136,-3.776174712,0.000159255,0.009732554,No Change,,,
TCONS_00003267,1322.000796,-0.281021925,0.088766225,-3.165865444,0.001546223,0.044049917,No Change,,,
TCONS_00001698,816.2471927,-0.275542622,0.066935371,-4.11654733,3.85E-05,0.003736443,No Change,,,
TCONS_00001707,983.6244386,-0.269008927,0.078327337,-3.434419425,0.000593825,0.024395651,No Change,,,
TCONS_00001435,747.10606,-0.268703272,0.061675651,-4.356715641,1.32E-05,0.001875924,No Change,,,
TCONS_00003123,621.2916325,-0.262288837,0.083354431,-3.14666938,0.001651416,0.046349737,No Change,,,
TCONS_00004044,18079.23594,-0.250533652,0.066705519,-3.755815963,0.000172778,0.010222816,No Change,,,
TCONS_00000195,576.5956977,-0.248976865,0.077451851,-3.214601859,0.001306256,0.038667207,No Change,,,
