,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
TCONS_00003973,14.51302577,-19.90370506,4.208541139,-4.729359748,2.25E-06,0.000931748,Down
TCONS_00004428,631.0055793,-1.521042111,0.445374538,-3.415197728,0.000637357,0.032649385,Down
TCONS_00000771,485.1369692,-1.452414199,0.295092854,-4.921888759,8.57E-07,0.00052689,Down
TCONS_00000768,1559.667433,-1.322592058,0.291488166,-4.53737823,5.70E-06,0.001534215,Down
TCONS_00000773,2220.592417,-1.273996526,0.277807098,-4.585903434,4.52E-06,0.001389339,Down
TCONS_00000770,2617.333283,-1.24628753,0.285710838,-4.362058998,1.29E-05,0.002640077,Down
TCONS_00002977,33831.94549,-1.217070423,0.247255994,-4.922309081,8.55E-07,0.00052689,Down
TCONS_00000767,2992.302404,-1.165443877,0.235441467,-4.95003659,7.42E-07,0.00052689,Down
TCONS_00001402,1048.054535,-1.162066545,0.35088271,-3.311837582,0.000926853,0.039487625,Down
TCONS_00000769,1541.71289,-1.154293501,0.250972201,-4.599288279,4.24E-06,0.001389339,Down
TCONS_00000766,417.0633277,-1.147453569,0.259404722,-4.423410485,9.72E-06,0.002322542,Down
TCONS_00000774,2332.438341,-1.105961429,0.251114977,-4.40420338,1.06E-05,0.002404546,Down
TCONS_00000765,1369.309643,-1.097514006,0.274254012,-4.001815677,6.29E-05,0.007513308,Down
TCONS_00001401,1604.618524,-1.092391181,0.333425885,-3.276263875,0.001051902,0.042302202,Down
TCONS_00002435,2620.972378,-1.073213795,0.335845674,-3.195556404,0.001395615,0.049224028,Down
TCONS_00002436,1092.426352,-1.019964609,0.303282872,-3.363080154,0.00077078,0.036446874,Down
TCONS_00000772,3444.066941,-1.003316431,0.232354405,-4.318043504,1.57E-05,0.003078961,Down
TCONS_00002342,1028.462373,-0.946273514,0.276368946,-3.423950227,0.000617179,0.032274645,No Change
TCONS_00003217,2067.218456,-0.9341873,0.231364024,-4.03773794,5.40E-05,0.006899731,No Change
TCONS_00000760,1035.728712,-0.909842976,0.21451729,-4.241350328,2.22E-05,0.003983485,No Change
TCONS_00000775,1967.404472,-0.833707907,0.259654218,-3.210839071,0.00132348,0.048262167,No Change
TCONS_00000776,2404.335659,-0.792589218,0.231642954,-3.42159864,0.000622541,0.032274645,No Change
TCONS_00001427,713.6680161,-0.751803284,0.163838281,-4.58869125,4.46E-06,0.001389339,No Change
TCONS_00000777,2204.062615,-0.735005724,0.218269196,-3.36742764,0.000758729,0.036275693,No Change
TCONS_00001426,774.1453538,-0.717865369,0.158223022,-4.537047513,5.70E-06,0.001534215,No Change
TCONS_00002615,3599.586332,-0.622580439,0.192325855,-3.237112556,0.001207458,0.045979564,No Change
TCONS_00002557,4814.558458,-0.617469774,0.139491221,-4.42658519,9.57E-06,0.002322542,No Change
TCONS_00004213,12372.01027,-0.598857571,0.186449315,-3.211905445,0.001318578,0.048262167,No Change
TCONS_00001761,4755.066762,-0.594838914,0.172620811,-3.445928168,0.000569102,0.031395439,No Change
TCONS_00002586,5261.518947,-0.574975996,0.1623392,-3.541818579,0.000397379,0.026717507,No Change
TCONS_00004330,10011.99969,-0.572672104,0.168277095,-3.403149455,0.000666138,0.032758723,No Change
TCONS_00001299,3637.623541,-0.560712145,0.167476192,-3.348011065,0.000813938,0.037259293,No Change
TCONS_00001768,1197.373999,-0.5572942,0.137022319,-4.067178297,4.76E-05,0.006605221,No Change
TCONS_00001687,6414.201239,-0.552164049,0.156241668,-3.534038373,0.000409262,0.026896864,No Change
TCONS_00000056,1066.817699,-0.543634068,0.1401408,-3.879199113,0.000104801,0.010737106,No Change
TCONS_00003449,1973.400336,-0.530346229,0.150565329,-3.522366212,0.000427713,0.026896864,No Change
TCONS_00000291,3595.447365,-0.495605555,0.129489713,-3.827373952,0.000129518,0.011373766,No Change
TCONS_00003228,304.4735587,-0.489239082,0.130188274,-3.757935092,0.000171321,0.01390935,No Change
TCONS_00004175,1729.014432,-0.469561623,0.134405697,-3.493613994,0.000476529,0.027469767,No Change
TCONS_00004251,3984.621847,-0.467308977,0.127227997,-3.673004277,0.000239715,0.018841716,No Change
TCONS_00001814,4441.912367,-0.462699866,0.131068367,-3.530217687,0.000415218,0.026896864,No Change
TCONS_00003696,821.1092362,-0.455419125,0.082872525,-5.49541749,3.90E-08,8.39E-05,No Change
TCONS_00002924,9696.329204,-0.446189066,0.13427241,-3.323013774,0.000890505,0.038318438,No Change
TCONS_00003050,5889.024187,-0.437013414,0.133179453,-3.281387661,0.001032977,0.042277946,No Change
TCONS_00003448,3259.464217,-0.42384016,0.130200121,-3.255297734,0.001132735,0.044418334,No Change
TCONS_00002582,1602.296369,-0.422789551,0.089612249,-4.717988386,2.38E-06,0.000931748,No Change
TCONS_00001188,536.4026044,-0.415283024,0.11772678,-3.52751535,0.000419479,0.026896864,No Change
TCONS_00001874,6588.825949,-0.386541123,0.120621975,-3.204566363,0.001352661,0.048911768,No Change
